11 17
fox 8 13
fox 4 3
antelope 2 11
human 5 16
sheep 6 13
sheep 2 2
dandelion 2 5
grass 4 8
nightshade 9 11
turtle 8 7
nightshade 3 13
turtle 7 9
nightshade 8 3
grass 10 4
grass 9 12
nightshade 7 3
dandelion 1 5
grass 10 12
grass 10 3
nightshade 7 4
dandelion 1 6
dandelion 1 4
grass 9 3
dandelion 2 6
grass 10 2
dandelion 2 4
dandelion 3 5
dandelion 0 5
grass 10 13
dandelion 0 4
grass 4 9
dandelion 0 6
dandelion 1 7
grass 10 5
nightshade 6 4
dandelion 0 7
nightshade 10 11
nightshade 8 4
grass 9 2
dandelion 3 4
dandelion 3 6
dandelion 0 8
dandelion 2 8
grass 9 4
dandelion 4 7
dandelion 0 9
nightshade 8 2
dandelion 5 7
dandelion 0 10
grass 3 8
nightshade 3 12
dandelion 2 7
dandelion 2 3
nightshade 6 3
dandelion 1 9
dandelion 4 6
dandelion 2 9
dandelion 3 7
nightshade 8 11
nightshade 3 14
nightshade 7 2
dandelion 6 6
grass 10 14
nightshade 6 5
grass 9 5
dandelion 4 5
dandelion 2 10
nightshade 6 2
nightshade 9 10
dandelion 3 3
dandelion 1 8
dandelion 5 6
dandelion 6 7
nightshade 8 10
nightshade 7 5
nightshade 8 5
dandelion 0 11
dandelion 1 10
dandelion 3 9
nightshade 5 5
nightshade 4 13
grass 10 1
dandelion 0 3
grass 10 6
dandelion 5 8
dandelion 1 3
nightshade 8 12
dandelion 3 2
dandelion 6 8
dandelion 3 10
grass 9 1
nightshade 7 1
dandelion 7 6
nightshade 6 1
dandelion 7 7
grass 9 6
